Project.Name,Date,Time.point,Nutrients,Site,Treatment,Tank.ID,Tank.number,chla..ug.L,DOC..mg.L
Dysbiome,7/12/23,T0,Plant,Yellow,Grass,D1,1,0.425,NA
Dysbiome,7/12/23,T0,Plant,Orange,Aspen,D4,4,0.41,NA
Dysbiome,7/12/23,T0,Plant,Orange,Aspen,D7,7,0.6,NA
Dysbiome,7/12/23,T0,Plant,Blue,Willow,D10,10,0.615,NA
Dysbiome,7/12/23,T0,Plant,Blue,Willow,D11,11,0.505,NA
Dysbiome,7/12/23,T0,Plant,Orange,Aspen,D13,13,0.37,NA
Dysbiome,7/12/23,T0,Wood,Red,Wood,D17,17,0.46,NA
Dysbiome,7/12/23,T0,Plant,Blue,Willow,D18,18,0.505,NA
Dysbiome,7/12/23,T0,Wood,Red,Wood,D20,20,0.47,NA
Dysbiome,7/26/23,T1,Plant,Yellow,Grass,D1,1,7.755,12.8
Dysbiome,7/26/23,T1,POM,Gray,POM,D2,2,0.105,3.7
Dysbiome,7/26/23,T1,Wood,Red,Wood,D3,3,0.03,8.4
Dysbiome,7/26/23,T1,Plant,Orange,Aspen,D4,4,0.565,19.2
Dysbiome,7/26/23,T1,Plant,Blue,Willow,D5,5,1.53,11
Dysbiome,7/26/23,T1,POM,Gray,POM,D6,6,0.05,3.7
Dysbiome,7/26/23,T1,Plant,Orange,Aspen,D7,7,1.665,32.3
Dysbiome,7/26/23,T1,Plant,Yellow,Grass,D8,8,5.06,57.5
Dysbiome,7/26/23,T1,Wood,Red,Wood,D9,9,0.08,67.1
Dysbiome,7/26/23,T1,Plant,Blue,Willow,D10,10,3.67,11.95
Dysbiome,7/26/23,T1,Plant,Blue,Willow,D11,11,5.26,10.3
Dysbiome,7/26/23,T1,POM,Gray,POM,D12,12,0.07,5.6
Dysbiome,7/26/23,T1,Plant,Orange,Aspen,D13,13,8.265,21.7
Dysbiome,7/26/23,T1,Plant,Yellow,Grass,D14,14,0.365,9.6
Dysbiome,7/26/23,T1,POM,Gray,POM,D15,15,0.07,2.5
Dysbiome,7/26/23,T1,Plant,Yellow,Grass,D16,16,0.56,12.4
Dysbiome,7/26/23,T1,Wood,Red,Wood,D17,17,0.07,6.6
Dysbiome,7/26/23,T1,Plant,Blue,Willow,D18,18,2.04,14.6
Dysbiome,7/26/23,T1,Plant,Orange,Aspen,D19,19,0.75,21.6
Dysbiome,7/26/23,T1,Wood,Red,Wood,D20,20,0.045,38
Dysbiome,8/27/23,T3,Plant,Yellow,Grass,D1,1,0.17,13.1
Dysbiome,8/27/23,T3,POM,Gray,POM,D2,2,0.28,4.7
Dysbiome,8/27/23,T3,Wood,Red,Wood,D3,3,0.31,6
Dysbiome,8/27/23,T3,Plant,Orange,Aspen,D4,4,0.595,14.3
Dysbiome,8/27/23,T3,Plant,Blue,Willow,D5,5,0.28,9.2
Dysbiome,8/27/23,T3,POM,Gray,POM,D6,6,0.38,5
Dysbiome,8/27/23,T3,Plant,Orange,Aspen,D7,7,0.54,14.6
Dysbiome,8/27/23,T3,Plant,Yellow,Grass,D8,8,0.22,11.4
Dysbiome,8/27/23,T3,Wood,Red,Wood,D9,9,0.24,6.3
Dysbiome,8/27/23,T3,Plant,Blue,Willow,D10,10,0.06,8.2
Dysbiome,8/27/23,T3,Plant,Blue,Willow,D11,11,0.305,9.5
Dysbiome,8/27/23,T3,POM,Gray,POM,D12,12,1.11,3.5
Dysbiome,8/27/23,T3,Plant,Orange,Aspen,D13,13,0.24,17.4
Dysbiome,8/27/23,T3,Plant,Yellow,Grass,D14,14,0.33,13.7
Dysbiome,8/27/23,T3,POM,Gray,POM,D15,15,0.07,2.6
Dysbiome,8/27/23,T3,Plant,Yellow,Grass,D16,16,0.24,13
Dysbiome,8/27/23,T3,Wood,Red,Wood,D17,17,0.095,5.2
Dysbiome,8/27/23,T3,Plant,Blue,Willow,D18,18,0.22,7.9
Dysbiome,8/27/23,T3,Plant,Orange,Aspen,D19,19,0.3,10.6
Dysbiome,8/27/23,T3,Wood,Red,Wood,D20,20,0.17,4.25
,,,Wood,Red,Wood,,,,
,,,Plant,Blue,Willow,,,,
,,,Plant,Orange,Aspen,,,,
,,,Wood,Red,Wood,,,,
