Experiment,Batch,Sample.ID,filter.ID,volume.filtered..ml,Site/Tank,Date,acetone.volume..mL,F-value1,F-value2,chla..ug.L1,chla..ug.L2,chla..ug.L,notes
Dysbiome,1,5,72,60,D13,7/26/2023,10,49.5,49.7,8.25,8.28,8.265,
Dysbiome,1,7,19,180,D7,7/26/2023,10,29.9,30,1.66,1.67,1.665,
Dysbiome,1,19,84,300,D17,7/26/2023,10,2.2,,0.07,,0.07,
Dysbiome,1,20,48,300,D12,7/26/2023,10,2.1,,0.07,,0.07,
Dysbiome,1,22,25,300,D13,7/12/2023,10,11.1,,0.37,,0.37,
Dysbiome,1,24,99,300,D17,7/12/2023,10,13.9,,0.46,,0.46,
Dysbiome,1,25,55,300,D4,7/12/2023,10,12.2,,0.41,,0.41,
Dysbiome,1,26,76,180,D8,7/26/2023,10,91,,5.06,,5.06,
Dysbiome,1,30,103,300,D7,7/12/2023,10,17.9,,0.6,,0.6,
Dysbiome,1,33,12,240,D11,7/26/2023,10,126.3,,5.26,,5.26,
Dysbiome,1,34,96,120,D10,7/26/2023,10,44,,3.67,,3.67,
Dysbiome,1,37,38,240,D6,7/26/2023,10,1.1,,0.05,,0.05,
Dysbiome,1,45,45,240,D15,7/26/2023,10,1.6,,0.07,,,
Dysbiome,1,47,30,300,D20,7/12/2023,10,14.1,,0.47,,,
Dysbiome,1,48,33,240,D9,7/26/2023,10,1.9,,0.08,,,
Dysbiome,1,55,54,180,D4,7/26/2023,10,10.2,10.3,0.56,0.57,,
Dysbiome,1,56,59,300,D11,7/12/2023,10,14.9,15.3,0.5,0.51,,
Dysbiome,1,61,12,300,D1,7/26/2023,10,12.7,12.8,0.42,0.43,,
Dysbiome,1,62,65,300,D18,7/12/2023,10,15,15.2,0.5,0.51,,
Dysbiome,1,64,50,240,D1,7/26/2023,10,185.8,186.5,7.74,7.77,,
Dysbiome,1,65,6,300,D10,7/12/2023,10,19.3,17.8,0.64,0.59,,
Dysbiome,1,66,63,300,D2 ,7/26/2023,10,2.1,4.2,0.07,0.14,,
Dysbiome,1,67,40,300,D16,7/26/2023,10,16.9,16.7,0.56,0.56,,
Dysbiome,1,68,78,240,D14,7/26/2023,10,8.8,8.7,0.37,0.36,,
Dysbiome,1,73,56,240,D20,7/26/2023,10,1.3,1,0.05,0.04,,
Dysbiome,1,79,47,180,D13,7/26/2023,10,36.8,,2.04,,,
Dysbiome,1,81,34,120,D19,7/26/2023,10,9.1,,0.75,,,
Dysbiome,1,82,79,300,D3,7/26/2023,10,0.9,,0.03,,,
Dysbiome,2,83,x9,300,D4,8/27/2023,10,17.8,18,0.59,0.6,,
Dysbiome,2,84,x8,300,D1,8/27/2023,10,5.1,5.2,0.17,0.17,,
Dysbiome,2,85,x57,300,D15,8/27/2023,10,2.2,2.2,0.07,0.07,,
Dysbiome,2,87,x43,300,D6,8/27/2023,10,11.4,,0.38,,,
Dysbiome,2,89,x35,300,D14,8/27/2023,10,10,,0.33,,,
Dysbiome,2,90,x80,300,D20,8/27/2023,10,5.1,,0.17,,,
Dysbiome,2,94,x3,300,D9,8/27/2023,10,8.2,,0.27,,,
Dysbiome,2,95,x106,300,D5,8/27/2023,10,9.1,,0.3,,,
Dysbiome,2,97,x98,300,D19,8/27/2023,10,9.1,,0.3,,,
Dysbiome,2,98,x78,300,D2,8/27/2023,10,8.3,,0.28,,,
Dysbiome,2,99,x115,300,D12,8/27/2023,10,33.4,,1.11,,,
Dysbiome,2,100,x77,300,D8,8/27/2023,10,6.7,,0.22,,,
Dysbiome,2,104,x12,300,D7,8/27/2023,10,16.3,,0.54,,,
Dysbiome,2,108,x113,300,D10,8/27/2023,10,1.9,,0.06,,,
Dysbiome,2,112,x79,300,D16,8/27/2023,10,7.3,,0.24,,,
Dysbiome,2,115,x6,300,D5,8/27/2023,10,7.9,,0.26,,,this was a replicate
Dysbiome,2,117,1,300,D9,8/27/2023,10,6.2,,0.21,,,
Dysbiome,2,121,x84,300,D3,8/27/2023,10,9.2,,0.31,,,
Dysbiome,2,123,108,300,D17,8/27/2023,10,2.9,2.8,0.1,0.09,,
Dysbiome,2,124,x82,300,D18,8/27/2023,10,6.6,6.6,0.22,0.22,,
Dysbiome,2,125,x95,300,D11,8/27/2023,10,8.8,9.5,0.29,0.32,,
